"","price","address","squares","type","year","age","bed","bath","tax"
"50","$14,800,000","1 Trans-Canada Hwy., Mill Bay, BC",NA,"Development, House",NA,NA,NA,NA,"$35,337"
"51","$14,800,000","3197 Point Grey Road, Vancouver West, BC","3,304 sq.ft.","Residential, House","1915","105","5","5+1","$34,982"
"52","$14,500,000","21 High Point Rd, Toronto, ON",NA,"Residential, House",NA,NA,NA,NA,"$44,193"
"53","$14,000,000","1277 & 1281 Lynn Road, Tofino, BC","5,987 sq.ft.","Residential, House",NA,NA,"6","7+1",NA
"54","$13,900,000","3690 Selkirk Street, Vancouver West, BC","8,697 sq.ft.","Residential, House","1912","108","7","6+1","$41,375"
"55","$13,888,000","6162 Adera Street, Vancouver West, BC","7,035 sq.ft.","Residential, House","2014","6","7","8+2","$63,604"
"56","$13,880,000","1526 Chartwell Drive, West Vancouver, BC","8,917 sq.ft.","Residential, House","2018","2","8","9+1","$36,306"
"57","$13,880,000","2956 Palmerston Avenue, West Vancouver, BC","10,344 sq.ft.","Residential, House","1995","25","7","8+2","$41,587"
"58","$13,880,000","1238 Balfour Avenue, Vancouver West, BC","7,377 sq.ft.","Residential, House","1912","108","5","8+2","$48,487"
"59","$13,880,000","1525 Vinson Creek Road, West Vancouver, BC","8,749 sq.ft.","Residential, House","2017","3","5","8+2","$21,563"
"60","$13,700,000","3595 Point Grey Road, Vancouver West, BC","3,258 sq.ft.","Residential, House","1925","95","5","3","$73,521"
"61","$13,580,000","1540 Wesbrook Crescent, Vancouver West, BC","2,193 sq.ft.","Residential, House","1947","73","3","2+2","$44,351"
"62","$13,500,000","36 Hazelton Ave, Toronto, ON",NA,"Residential, Condo",NA,"0-5","2","3","$29,140"
"63","$13,000,000","7807 Cambie Street, Vancouver West, BC","4,854 sq.ft.","Residential, House","1959","61","7","4","$51,589"
"64","$13,000,000","7843 Cambie Street, Vancouver West, BC","2,874 sq.ft.","Residential, House","1960","60","7","4+1","$56,793"
"65","$12,998,000","3056 Procter Avenue, West Vancouver, BC","5,673 sq.ft.","Residential, House","2007","13","5","6","$48,267"
"66","$12,998,000","1648 Langton Place, West Vancouver, BC","12,647 sq.ft.","Residential, House","2007","13","6","10+2","$59,152"
"67","$12,998,000","4360 Ross Crescent, West Vancouver, BC","6,175 sq.ft.","Residential, House","1989","31","5","6+2","$45,180"
"68","$12,980,000","1112 Gilston Road, West Vancouver, BC","8,688 sq.ft.","Residential, House","2019","1","6","10+2","$22,243"
"69","$12,900,000","112 Ch. de l'Ermite, Mont-Tremblant, QC","9,709.05 sq.ft.","Residential, House","2009",NA,"5","8+2","$56,791"
"70","$12,890,000","1469 Matthews Avenue, Vancouver West, BC","7,864 sq.ft.","Residential, House","1912","108","6","8+1","$52,622"
"71","$12,888,000","529 Swanwick Road, Metchosin, BC","10,700 sq.ft.","Residential, House","2006",NA,"6","7+1","$20,312"
"72","$12,880,000","1678 Somerset Crescent, Vancouver West, BC","5,380 sq.ft.","Residential, House","1930","90","4","5+2","$53,653"
"73","$12,800,000","12 BAYTREE CRES., Toronto, ON","15,000 sq.ft.","Residential, House","1994","25","6+1","8+4","$47,885"
"74","$12,800,000","3000 1050 Burrard Street, Vancouver West, BC","7,136 sq.ft.","Residential, Condo","1994","26","5","8+3","$43,515"
"75","$12,800,000","Ph3 777 Richards Street, Vancouver West, BC","3,899 sq.ft.","Residential, Condo","2016","3","3","5+1","$34,949"
"76","$12,500,000","16180 The Gore Road, Caledon, ON","13,000 sq.ft.","Residential, House",NA,NA,"4+1","9",NA
"77","$12,500,000","3751 Sunset Lane, West Vancouver, BC","5,710 sq.ft.","Residential, House","2014","6","4","5+1","$44,200"
"78","$12,500,000","6076 Blink Bonnie Road, West Vancouver, BC","5,795 sq.ft.","Residential, House","2001","19","3","4+1","$27,276"
"79","$12,000,000","1845 Marine Drive, West Vancouver, BC","7,372 sq.ft.","Commercial, Other","1968",NA,NA,NA,"$60,499"
"80","$12,000,000","377 Seymour Heights, Salt Spring Island, BC","7,324 sq.ft.","Residential, House","1994",NA,"7","8","$12,837"
"81","$11,998,000","6633 Cartier Street, Vancouver West, BC","8,092 sq.ft.","Residential, House","2013","7","6","8+1","$58,895"
"82","$11,980,000","4639 Simpson Avenue, Vancouver West, BC","4,939 sq.ft.","Residential, House","2014","6","5","7+2","$50,567"
"83","$11,980,000","1512 Western Crescent, Vancouver West, BC","3,735 sq.ft.","Residential, House","1948","72","4","4+1","$29,996"
"84","$11,900,000","2814 Bellevue Avenue, West Vancouver, BC","101 sq.ft.","Residential, House","9999","999","4","2","$39,386"
"85","$11,880,000","2143 W 36th Avenue, Vancouver West, BC","6,437 sq.ft.","Residential, House","2018","2","5","8+2","$25,646"
"86","$11,800,000","1637 Angus Drive, Vancouver West, BC","12,863 sq.ft.","Residential, House","2003","17","15","12+3","$92,824"
"87","$11,800,000","795 Andover Crescent, West Vancouver, BC","8,786 sq.ft.","Residential, House","2019","1","6","8+2","$19,838"
"88","$11,800,000","2523 Point Grey Road, Vancouver West, BC","2,781 sq.ft.","Residential, Condo","1992","28","3","3+1","$50,784"
"89","$11,680,000","1050 Laurier Avenue, Vancouver West, BC","6,824 sq.ft.","Residential, House","2018","2","5","7+1","$45,881"
"90","$11,680,000","4580 Marine Drive, West Vancouver, BC","6,916 sq.ft.","Residential, House","2018","2","5","7+1","$42,370"
"91","$11,580,000","4651 Simpson Avenue, Vancouver West, BC","5,283 sq.ft.","Residential, House","2014","6","5","8+2","$52,305"
"92","$11,190,000","4051 Cypress Street, Vancouver West, BC","7,024 sq.ft.","Residential, House","2004","16","5","7+1","$45,143"
"93","$11,180,000","7725 Cambie Street, Vancouver West, BC","2,585 sq.ft.","Residential, House","1959","61",NA,"2","$469"
