"","price","address","squares","type","year","age","bed","bath","tax"
"293","$1,300,000","88 Cumberland St #1201, Toronto, ON",NA,"Residential, Condo",NA,"New","2","2",NA
"294","$1,799,999","9544 Hutsell Rd, Northumberland, ON","3,256 sq.ft.","Farm & Agriculture, Farm / Ranch","1959","100+","3","3","$12,413"
"295","$1,198,000","16 John Smith St, East Gwillimbury, ON",NA,"Residential, House",NA,"0-5","4+1","4","$5,822"
"296","$1,049,000","1356 Monaghan Circle, Mississauga, ON","1,486 sq.ft.","Residential, House",NA,NA,"4+1","4","$5,030"
"297","$1,325,000","68 Curzon St, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$5,319"
"298","$4,495,000","330 Byng Ave, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","7","$16,066"
"299","$1,099,000","68 Ostend Ave, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","2","$6,069"
"300","$2,499,000","134 Parkhurst Blvd., Toronto, ON","3,400 sq.ft.","Residential, House",NA,NA,"4+1","3+1","$9,487"
"301","$5,288,000","25-10 Maple Grove Drive, Oakville, ON","3,563 sq.ft.","Residential, Condo",NA,"6-10","3","3","$20,284"
"302","$933,000","5991 Gant Cres, Mississauga, ON",NA,"Residential, House",NA,"16-30","4","4","$4,724"
"303","$1,300,000","1472 Grace River Rd, Haliburton, ON",NA,"Residential, House",NA,NA,"3+1","3","$4,600"
"304","$2,480,000","430 Winston Rd, Oakville, ON","2,899 sq.ft.","Residential, House","2012","6-15","4+2","5+1","$10,990"
"305","$1,174,900","324 St Dominic Cres, Oakville, ON","1,655 sq.ft.","Residential, House",NA,NA,"4+1","1+1","$4,416"
"306","$1,249,000","10 Walker Ave Th122, Toronto, ON",NA,"Residential, Condo",NA,"31-50","2","2","$4,666"
"307","$2,398,000","373 Wade Street, Oakville, ON","3,239 sq.ft.","Residential, House",NA,NA,"4","5+1",NA
"308","$1,449,000","278 Bloor St E #2203, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$5,205"
