"","price","address","squares","type","year","age","bed","bath","tax"
"49","$395,000","568 Evanston Li Nw, Calgary, AB","143.16 sq.m.","Residential, House","2016",NA,"3","2+1","$2,491"
"50","$395,000","8002 Ranchview Dr Nw, Calgary, AB","70.14 sq.m.","Residential, House","1979",NA,"3","1+1","$2,531"
"51","$395,000","12063 Canfield Gr Sw, Calgary, AB","105.07 sq.m.","Residential, House","1973",NA,"3","2","$2,668"
"52","$395,000","319 Templevale Pl Ne, Calgary, AB","113.43 sq.m.","Residential, House","1979",NA,"3","2+1","$2,422"
"53","$395,000","10e Rang, Val-David, QC",NA,"Lots & Land, Lots & Land-Other",NA,NA,NA,NA,"$680"
"54","$395,000","307 Sunset PT , Cochrane, AB","1,661 sq.ft.","Residential, House","2009",NA,"3","4","$2,993"
"55","$396,000","#503 777 3 Av Sw, Calgary, AB","119.75 sq.m.","Residential, Condo","1998",NA,"2","2","$2,953"
"56","$396,343","190 Crestridge Cm Sw, Calgary, AB","118.54 sq.m.","Residential, House","2020",NA,"3","2+1",NA
"57","$398,000","90 Autumn Gr Se, Calgary, AB","128.95 sq.m.","Residential, House","2009",NA,"4","3+1","$2,695"
"58","$398,000","5024 Maryvale Dr Ne, Calgary, AB","108.04 sq.m.","Residential, House","1969",NA,"4","2","$2,272"
"59","$398,700","129 Braniff Cr Sw, Calgary, AB","111.20 sq.m.","Residential, House","1975",NA,"5","3","$2,811"
"60","$398,900","94 Cranford Ba Se, Calgary, AB","141.77 sq.m.","Residential, House","2014",NA,"3","2+1","$2,644"
"61","$398,900","#1403 303 13 Av Sw, Calgary, AB","82.87 sq.m.","Residential, Condo","2014",NA,"2","2","$2,921"
"62","$398,950","4809 Woolsey Lane NW, Edmonton, AB",NA,"Residential, House",NA,NA,NA,NA,NA
"63","$399,000 (+ taxes)","1040 Av. Murray, La Cité, QC","1,442.36 sq.ft.","Residential, Condo","1930",NA,"2","1","$1"
"64","$399,000","#902 200 Lacaille Pl Sw, Calgary, AB","91.04 sq.m.","Residential, Condo","1999",NA,"1","1","$3,668"
"65","$489,900","66 Tuscany Hills Rd Nw, Calgary, AB","186.54 sq.m.","Residential, House","1996",NA,"4","3+1","$3,436"
"66","$489,900","30 Cornerstone RD NE, Calgary, AB","1,773 sq.ft.","Residential, House","2018",NA,"6","5",NA
"67","$489,900","165 Royal Oak Tc Nw, Calgary, AB","180.32 sq.m.","Residential, House","2006",NA,"3","2+1","$3,410"
"68","$489,900","471 Chaparral Ridge Ci Se, Calgary, AB","208.47 sq.m.","Residential, House","2005",NA,"3","2+1","$3,846"
"69","$489,900","8 Colborne St N, Toronto, ON",NA,"Residential, Condo",NA,NA,"1","1","$1,523"
"70","$489,900","218 17 AV NE, Calgary, AB","953 sq.ft.","Residential, House","1947",NA,"4","2","$3,839"
"71","$489,900","716 The West Mall, Toronto, ON",NA,"Residential, Condo",NA,NA,"2+1","2","$1,199"
"72","$489,900","230 Auburn Bay Cv Se, Calgary, AB","105.72 sq.m.","Residential, House","2005",NA,"2","2+1","$2,968"
"73","$489,900","8 Fieldway Rd, Toronto, ON",NA,"Residential, Condo",NA,NA,"1","1","$1,680"
"74","$489,900","30 Tandridge Cres, Toronto, ON",NA,"Residential, Condo",NA,NA,"3","2","$1,276"
"75","$489,900","67 Douglas Glen Pl Se, Calgary, AB","106.93 sq.m.","Residential, House","1993",NA,"3","1+1","$2,947"
"76","$489,900","#1406 788 12 Av Sw, Calgary, AB","100.89 sq.m.","Residential, Condo","2009",NA,"2","2","$3,034"
"77","$489,900","830 Lawrence Ave W, Toronto, ON",NA,"Residential, Condo",NA,"0-5","1","1","$1,684"
"78","$489,900","91 Evansborough Cr Nw, Calgary, AB","170.19 sq.m.","Residential, House","2013",NA,"4","3+1","$3,430"
"79","$489,900","115 Auburn Meadows Pl Se, Calgary, AB","142.04 sq.m.","Residential, House","2014",NA,"3","2+1","$3,290"
"80","$489,900","921 18 Av Nw, Calgary, AB","71.35 sq.m.","Residential, House","1928",NA,"2","1","$3,453"
"81","$489,900","58 Sierra Morena Cl Sw, Calgary, AB","117.98 sq.m.","Residential, House","1995",NA,"3","2","$3,336"
"82","$489,900","464 Royal Oak Ht Nw, Calgary, AB","168.43 sq.m.","Residential, House","2004",NA,"3","2+1","$3,183"
"83","$489,900","420 Mill Rd, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","1","$1,517"
"84","$489,900","1082 Brightoncrest Cm Se, Calgary, AB","156.44 sq.m.","Residential, House","2011",NA,"3","2+2","$3,050"
"85","$489,900","7 Grenville St, Toronto, ON",NA,"Residential, Condo",NA,"0-5",NA,"1",NA
"86","$489,900","6 Eva Rd, Toronto, ON",NA,"Residential, Condo",NA,"6-10","1+1","1","$1,745"
"87","$489,900","4978 Yonge St, Toronto, ON",NA,"Residential, Condo",NA,NA,"1","1","$1,500"
"88","$489,900","1 Greystone Walk Dr, Toronto, ON",NA,"Residential, Condo",NA,NA,"2+1","2","$1,409"
"89","$489,900","215 Queen St W, Toronto, ON",NA,"Residential, Condo",NA,"0-5",NA,"1","$1,710"
"90","$489,990","1328 Birchmount Rd, Toronto, ON",NA,"Residential, Condo",NA,"0-5","1+1","1","$1,570"
"91","$489,999","23 Glebe Rd W, Toronto, ON",NA,"Residential, Condo",NA,"0-5",NA,"1","$1,847"
"92","$489,999","12 Marsden Rd Ne, Calgary, AB","101.26 sq.m.","Residential, House","1955",NA,"4","2","$3,885"
"93","$489,999","560 King St W, Toronto, ON",NA,"Residential, Condo",NA,"0-5","1","1","$2,075"
"94","$490,000","9126 Scurfield Dr Nw, Calgary, AB","125.60 sq.m.","Residential, House","1995",NA,"4","3","$3,150"
"95","$490,000","193 Kincora Glen Ri Nw, Calgary, AB","190.17 sq.m.","Residential, House","2010",NA,"4","3+1","$3,500"
"96","$492,000","105 The Queensway Ave, Toronto, ON",NA,"Residential, Condo",NA,NA,"1","1","$1,469"
